Time,Number of Tweets,Sentiment
2020-05-27 05:01:22,10,0
2020-05-27 05:01:22,67,2
2020-05-27 05:01:22,16,1
2020-05-27 05:03:32,8,0
2020-05-27 05:03:32,47,2
2020-05-27 05:03:32,11,1
2020-05-27 05:05:34,8,0
2020-05-27 05:05:34,46,2
2020-05-27 05:05:34,18,1
2020-05-27 05:07:38,15,0
2020-05-27 05:07:38,53,2
2020-05-27 05:07:38,11,1
2020-05-27 05:09:38,10,0
2020-05-27 05:09:38,33,2
2020-05-27 05:09:38,7,1
2020-05-27 05:11:39,9,0
2020-05-27 05:11:39,53,2
2020-05-27 05:11:39,15,1
2020-05-27 05:13:40,15,0
2020-05-27 05:13:40,37,2
2020-05-27 05:13:40,13,1
2020-05-27 05:15:45,4,0
2020-05-27 05:15:45,37,2
2020-05-27 05:15:45,9,1
2020-05-27 05:17:47,15,0
2020-05-27 05:17:47,53,2
2020-05-27 05:17:47,10,1
2020-05-27 05:19:47,7,0
2020-05-27 05:19:47,39,2
2020-05-27 05:19:47,14,1
2020-05-27 05:21:49,6,0
2020-05-27 05:21:49,41,2
2020-05-27 05:21:49,13,1
2020-05-27 05:23:56,8,0
2020-05-27 05:23:56,42,2
2020-05-27 05:23:56,9,1
2020-05-27 05:26:03,7,0
2020-05-27 05:26:03,37,2
2020-05-27 05:26:03,17,1
2020-05-27 05:28:03,11,0
2020-05-27 05:28:03,48,2
2020-05-27 05:28:03,12,1
2020-05-27 05:30:05,9,0
2020-05-27 05:30:05,36,2
2020-05-27 05:30:05,9,1
2020-05-27 05:32:12,12,0
2020-05-27 05:32:12,34,2
2020-05-27 05:32:12,15,1
2020-05-27 05:34:13,6,0
2020-05-27 05:34:13,45,2
2020-05-27 05:34:13,6,1
2020-05-27 05:36:14,7,0
2020-05-27 05:36:14,54,2
2020-05-27 05:36:14,7,1
2020-05-27 05:38:14,8,0
2020-05-27 05:38:14,53,2
2020-05-27 05:38:14,13,1
2020-05-27 05:40:16,17,0
2020-05-27 05:40:16,53,2
2020-05-27 05:40:16,13,1
2020-05-27 05:42:16,15,0
2020-05-27 05:42:16,46,2
2020-05-27 05:42:16,10,1
2020-05-27 05:44:17,16,0
2020-05-27 05:44:17,45,2
2020-05-27 05:44:17,16,1
2020-05-27 05:46:18,8,0
2020-05-27 05:46:18,42,2
2020-05-27 05:46:18,15,1
2020-05-27 05:48:20,10,0
2020-05-27 05:48:20,49,2
2020-05-27 05:48:20,13,1
2020-05-27 05:50:21,7,0
2020-05-27 05:50:21,30,2
2020-05-27 05:50:21,14,1
2020-05-27 05:52:22,13,0
2020-05-27 05:52:22,44,2
2020-05-27 05:52:22,10,1
2020-05-27 05:54:23,12,0
2020-05-27 05:54:23,47,2
2020-05-27 05:54:23,8,1
2020-05-27 05:56:26,4,0
2020-05-27 05:56:26,43,2
2020-05-27 05:56:26,13,1
2020-05-27 05:58:27,6,0
2020-05-27 05:58:27,62,2
2020-05-27 05:58:27,6,1
2020-05-27 06:00:29,14,0
2020-05-27 06:00:29,54,2
2020-05-27 06:00:29,12,1
2020-05-27 06:02:29,11,0
2020-05-27 06:02:29,50,2
2020-05-27 06:02:29,16,1
2020-05-27 06:04:32,13,0
2020-05-27 06:04:32,68,2
2020-05-27 06:04:32,7,1
2020-05-27 06:06:32,7,0
2020-05-27 06:06:32,37,2
2020-05-27 06:06:32,16,1
2020-05-27 06:08:33,16,0
2020-05-27 06:08:33,49,2
2020-05-27 06:08:33,10,1
2020-05-27 06:10:33,10,0
2020-05-27 06:10:33,45,2
2020-05-27 06:10:33,10,1
2020-05-27 06:12:34,18,0
2020-05-27 06:12:34,55,2
2020-05-27 06:12:34,10,1
2020-05-27 06:14:37,9,0
2020-05-27 06:14:37,45,2
2020-05-27 06:14:37,11,1
2020-05-27 06:16:39,14,0
2020-05-27 06:16:39,55,2
2020-05-27 06:16:39,9,1
2020-05-27 06:18:42,5,0
2020-05-27 06:18:42,71,2
2020-05-27 06:18:42,11,1
2020-05-27 06:20:42,17,0
2020-05-27 06:20:42,59,2
2020-05-27 06:20:42,19,1
2020-05-27 06:22:43,20,0
2020-05-27 06:22:43,62,2
2020-05-27 06:22:43,15,1
2020-05-27 06:24:43,7,0
2020-05-27 06:24:43,62,2
2020-05-27 06:24:43,13,1
2020-05-27 06:26:44,16,0
2020-05-27 06:26:44,58,2
2020-05-27 06:26:44,14,1
2020-05-27 06:28:45,10,0
2020-05-27 06:28:45,51,2
2020-05-27 06:28:45,8,1
2020-05-27 06:30:46,20,0
2020-05-27 06:30:46,52,2
2020-05-27 06:30:46,13,1
2020-05-27 06:32:48,13,0
2020-05-27 06:32:48,54,2
2020-05-27 06:32:48,15,1
2020-05-27 06:34:52,8,0
2020-05-27 06:34:52,43,2
2020-05-27 06:34:52,12,1
2020-05-27 06:36:54,16,0
2020-05-27 06:36:54,44,2
2020-05-27 06:36:54,9,1
2020-05-27 06:38:56,16,0
2020-05-27 06:38:56,46,2
2020-05-27 06:38:56,20,1
2020-05-27 06:40:57,16,0
2020-05-27 06:40:57,58,2
2020-05-27 06:40:57,17,1
2020-05-27 06:42:58,13,0
2020-05-27 06:42:58,52,2
2020-05-27 06:42:58,8,1
2020-05-27 06:44:58,2,0
2020-05-27 06:44:58,61,2
2020-05-27 06:44:58,21,1
2020-05-27 06:46:59,12,0
2020-05-27 06:46:59,54,2
2020-05-27 06:46:59,12,1
2020-05-27 06:49:03,14,0
2020-05-27 06:49:03,58,2
2020-05-27 06:49:03,17,1
2020-05-27 06:51:03,17,0
2020-05-27 06:51:03,60,2
2020-05-27 06:51:03,15,1
2020-05-27 06:53:05,7,0
2020-05-27 06:53:05,61,2
2020-05-27 06:53:05,10,1
2020-05-27 06:55:08,13,0
2020-05-27 06:55:08,78,2
2020-05-27 06:55:08,10,1
2020-05-27 06:57:09,9,0
2020-05-27 06:57:09,62,2
2020-05-27 06:57:09,15,1
2020-05-27 06:59:10,10,0
2020-05-27 06:59:10,54,2
2020-05-27 06:59:10,17,1
2020-05-27 07:01:11,24,0
2020-05-27 07:01:11,76,2
2020-05-27 07:01:11,22,1
2020-05-27 07:03:11,12,0
2020-05-27 07:03:11,61,2
2020-05-27 07:03:11,15,1
2020-05-27 07:05:11,14,0
2020-05-27 07:05:11,67,2
2020-05-27 07:05:11,11,1
2020-05-27 07:07:12,26,0
2020-05-27 07:07:12,90,2
2020-05-27 07:07:12,16,1
2020-05-27 07:09:12,18,0
2020-05-27 07:09:12,72,2
2020-05-27 07:09:12,7,1
2020-05-27 07:11:13,12,0
2020-05-27 07:11:13,77,2
2020-05-27 07:11:13,17,1
2020-05-27 07:13:13,17,0
2020-05-27 07:13:13,65,2
2020-05-27 07:13:13,14,1
2020-05-27 07:15:13,11,0
2020-05-27 07:15:13,95,2
2020-05-27 07:15:13,17,1
2020-05-27 07:17:16,12,0
2020-05-27 07:17:16,64,2
2020-05-27 07:17:16,16,1
2020-05-27 07:19:16,18,0
2020-05-27 07:19:16,79,2
2020-05-27 07:19:16,16,1
2020-05-27 07:21:17,18,0
2020-05-27 07:21:17,60,2
2020-05-27 07:21:17,18,1
2020-05-27 07:23:18,17,0
2020-05-27 07:23:18,90,2
2020-05-27 07:23:18,10,1
2020-05-27 07:25:19,20,0
2020-05-27 07:25:19,58,2
2020-05-27 07:25:19,19,1
2020-05-27 07:27:19,12,0
2020-05-27 07:27:19,80,2
2020-05-27 07:27:19,19,1
2020-05-27 07:29:19,25,0
2020-05-27 07:29:19,51,2
2020-05-27 07:29:19,16,1
2020-05-27 07:31:20,20,0
2020-05-27 07:31:20,72,2
2020-05-27 07:31:20,19,1
2020-05-27 07:33:21,16,0
2020-05-27 07:33:21,69,2
2020-05-27 07:33:21,16,1
2020-05-27 07:35:21,26,0
2020-05-27 07:35:21,61,2
2020-05-27 07:35:21,17,1
2020-05-27 07:37:22,18,0
2020-05-27 07:37:22,81,2
2020-05-27 07:37:22,18,1
2020-05-27 07:39:22,17,0
2020-05-27 07:39:22,80,2
2020-05-27 07:39:22,22,1
2020-05-27 07:41:23,23,0
2020-05-27 07:41:23,65,2
2020-05-27 07:41:23,35,1
2020-05-27 07:43:23,16,0
2020-05-27 07:43:23,87,2
2020-05-27 07:43:23,23,1
2020-05-27 07:45:29,21,0
2020-05-27 07:45:29,73,2
2020-05-27 07:45:29,17,1
2020-05-27 07:47:29,19,0
2020-05-27 07:47:29,82,2
2020-05-27 07:47:29,26,1
2020-05-27 07:49:32,21,0
2020-05-27 07:49:32,67,2
2020-05-27 07:49:32,19,1
2020-05-27 07:51:33,12,0
2020-05-27 07:51:33,81,2
2020-05-27 07:51:33,18,1
2020-05-27 07:53:33,13,0
2020-05-27 07:53:33,85,2
2020-05-27 07:53:33,12,1
2020-05-27 07:55:34,14,0
2020-05-27 07:55:34,62,2
2020-05-27 07:55:34,12,1
2020-05-27 07:57:35,17,0
2020-05-27 07:57:35,53,2
2020-05-27 07:57:35,27,1
2020-05-27 07:59:35,23,0
2020-05-27 07:59:35,90,2
2020-05-27 07:59:35,15,1
2020-05-27 08:01:36,24,0
2020-05-27 08:01:36,122,2
2020-05-27 08:01:36,34,1
2020-05-27 08:03:36,16,0
2020-05-27 08:03:36,100,2
2020-05-27 08:03:36,10,1
2020-05-27 08:05:36,16,0
2020-05-27 08:05:36,86,2
2020-05-27 08:05:36,22,1
2020-05-27 08:07:38,13,0
2020-05-27 08:07:38,78,2
2020-05-27 08:07:38,20,1
2020-05-27 08:09:39,16,0
2020-05-27 08:09:39,95,2
2020-05-27 08:09:39,16,1
2020-05-27 08:11:39,22,0
2020-05-27 08:11:39,80,2
2020-05-27 08:11:39,26,1
